copies,timestamp,elapsed_s,pid,cpu_percent,mem_percent
10,2025-11-17T12:07:24+01:00,1,33527,0.2,0.4
100,2025-11-17T12:07:31+01:00,1,33527,0.3,0.8
100,2025-11-17T12:07:33+01:00,2,33527,0.6,1.1
100,2025-11-17T12:07:35+01:00,3,33527,0.7,1.1
100,2025-11-17T12:07:37+01:00,4,33527,0.8,1.1
100,2025-11-17T12:07:39+01:00,5,33527,0.9,1.1
100,2025-11-17T12:07:41+01:00,6,33527,1.0,1.1
100,2025-11-17T12:07:43+01:00,7,33527,1.2,1.1
500,2025-11-17T12:07:50+01:00,1,33527,1.0,1.1
500,2025-11-17T12:07:52+01:00,2,33527,1.2,1.4
500,2025-11-17T12:07:54+01:00,3,33527,1.2,1.4
500,2025-11-17T12:07:56+01:00,4,33527,1.2,1.4
500,2025-11-17T12:07:58+01:00,5,33527,1.3,1.4
500,2025-11-17T12:08:00+01:00,6,33527,1.3,1.4
500,2025-11-17T12:08:02+01:00,7,33527,1.4,1.4
500,2025-11-17T12:08:04+01:00,8,33527,1.4,1.4
500,2025-11-17T12:08:06+01:00,9,33527,1.5,1.4
500,2025-11-17T12:08:08+01:00,10,33527,1.5,1.4
500,2025-11-17T12:08:10+01:00,11,33527,1.6,1.4
500,2025-11-17T12:08:12+01:00,12,33527,1.6,1.4
500,2025-11-17T12:08:14+01:00,13,33527,1.7,1.4
500,2025-11-17T12:08:16+01:00,14,33527,1.7,1.4
500,2025-11-17T12:08:18+01:00,15,33527,1.7,1.4
500,2025-11-17T12:08:20+01:00,16,33527,1.7,1.4
500,2025-11-17T12:08:22+01:00,17,33527,1.7,1.4
500,2025-11-17T12:08:24+01:00,18,33527,1.7,1.4
500,2025-11-17T12:08:27+01:00,19,33527,1.8,1.4
500,2025-11-17T12:08:29+01:00,20,33527,1.8,1.4
500,2025-11-17T12:08:31+01:00,21,33527,1.8,1.4
500,2025-11-17T12:08:33+01:00,22,33527,1.8,1.4
500,2025-11-17T12:08:35+01:00,23,33527,1.8,1.4
500,2025-11-17T12:08:37+01:00,24,33527,1.8,1.4
500,2025-11-17T12:08:39+01:00,25,33527,1.8,1.4
500,2025-11-17T12:08:41+01:00,26,33527,1.8,1.4
500,2025-11-17T12:08:43+01:00,27,33527,1.8,1.4
500,2025-11-17T12:08:45+01:00,28,33527,1.9,1.4
500,2025-11-17T12:08:47+01:00,29,33527,1.9,1.4
500,2025-11-17T12:08:49+01:00,30,33527,1.9,1.4
500,2025-11-17T12:08:51+01:00,31,33527,1.9,1.4
500,2025-11-17T12:08:53+01:00,32,33527,1.9,1.4
