copies,timestamp,elapsed_s,pid,cpu_percent,mem_percent
10,2025-11-17T11:31:19+01:00,1,23179,0.0,0.4
100,2025-11-17T11:31:26+01:00,1,23179,0.1,0.8
100,2025-11-17T11:31:28+01:00,2,23179,0.3,1.1
100,2025-11-17T11:31:30+01:00,3,23179,0.3,1.1
100,2025-11-17T11:31:32+01:00,4,23179,0.5,1.1
100,2025-11-17T11:31:34+01:00,5,23179,0.5,1.1
100,2025-11-17T11:31:36+01:00,6,23179,0.5,1.1
500,2025-11-17T11:31:43+01:00,1,23179,0.5,1.1
500,2025-11-17T11:31:45+01:00,2,23179,0.6,1.4
500,2025-11-17T11:31:47+01:00,3,23179,0.6,1.4
500,2025-11-17T11:31:49+01:00,4,23179,0.7,1.4
500,2025-11-17T11:31:52+01:00,5,23179,0.7,1.4
500,2025-11-17T11:31:54+01:00,6,23179,0.7,1.4
500,2025-11-17T11:31:56+01:00,7,23179,0.7,1.4
500,2025-11-17T11:31:58+01:00,8,23179,0.8,1.4
500,2025-11-17T11:32:00+01:00,9,23179,0.9,1.4
500,2025-11-17T11:32:02+01:00,10,23179,0.9,1.4
500,2025-11-17T11:32:04+01:00,11,23179,1.0,1.4
500,2025-11-17T11:32:06+01:00,12,23179,1.0,1.4
500,2025-11-17T11:32:08+01:00,13,23179,1.1,1.4
500,2025-11-17T11:32:10+01:00,14,23179,1.1,1.4
500,2025-11-17T11:32:12+01:00,15,23179,1.1,1.4
500,2025-11-17T11:32:14+01:00,16,23179,1.1,1.4
500,2025-11-17T11:32:16+01:00,17,23179,1.1,1.4
500,2025-11-17T11:32:18+01:00,18,23179,1.2,1.4
500,2025-11-17T11:32:20+01:00,19,23179,1.2,1.4
500,2025-11-17T11:32:22+01:00,20,23179,1.2,1.4
500,2025-11-17T11:32:24+01:00,21,23179,1.2,1.4
500,2025-11-17T11:32:26+01:00,22,23179,1.3,1.4
500,2025-11-17T11:32:28+01:00,23,23179,1.3,1.4
500,2025-11-17T11:32:30+01:00,24,23179,1.3,1.4
500,2025-11-17T11:32:32+01:00,25,23179,1.3,1.4
500,2025-11-17T11:32:34+01:00,26,23179,1.3,1.4
500,2025-11-17T11:32:36+01:00,27,23179,1.3,1.4
1000,2025-11-17T11:32:43+01:00,1,23179,1.3,1.4
1000,2025-11-17T11:32:45+01:00,2,23179,1.3,1.7
1000,2025-11-17T11:32:47+01:00,3,23179,1.3,1.7
1000,2025-11-17T11:32:49+01:00,4,23179,1.3,1.7
1000,2025-11-17T11:32:51+01:00,5,23179,1.3,1.7
1000,2025-11-17T11:32:53+01:00,6,23179,1.4,1.7
1000,2025-11-17T11:32:55+01:00,7,23179,1.4,1.7
1000,2025-11-17T11:32:57+01:00,8,23179,1.4,1.7
1000,2025-11-17T11:32:59+01:00,9,23179,1.4,1.7
1000,2025-11-17T11:33:01+01:00,10,23179,1.4,1.7
1000,2025-11-17T11:33:03+01:00,11,23179,1.4,1.7
1000,2025-11-17T11:33:05+01:00,12,23179,1.4,1.7
1000,2025-11-17T11:33:07+01:00,13,23179,1.4,1.7
1000,2025-11-17T11:33:09+01:00,14,23179,1.4,1.7
1000,2025-11-17T11:33:11+01:00,15,23179,1.5,1.7
1000,2025-11-17T11:33:13+01:00,16,23179,1.5,1.7
1000,2025-11-17T11:33:15+01:00,17,23179,1.5,1.7
1000,2025-11-17T11:33:17+01:00,18,23179,1.5,1.7
1000,2025-11-17T11:33:19+01:00,19,23179,1.5,1.7
1000,2025-11-17T11:33:21+01:00,20,23179,1.5,1.7
1000,2025-11-17T11:33:23+01:00,21,23179,1.5,1.7
1000,2025-11-17T11:33:25+01:00,22,23179,1.5,1.7
1000,2025-11-17T11:33:27+01:00,23,23179,1.5,1.7
1000,2025-11-17T11:33:29+01:00,24,23179,1.5,1.7
1000,2025-11-17T11:33:31+01:00,25,23179,1.5,1.7
1000,2025-11-17T11:33:33+01:00,26,23179,1.6,1.7
1000,2025-11-17T11:33:35+01:00,27,23179,1.6,1.7
1000,2025-11-17T11:33:38+01:00,28,23179,1.6,1.7
1000,2025-11-17T11:33:40+01:00,29,23179,1.6,1.7
1000,2025-11-17T11:33:42+01:00,30,23179,1.6,1.7
1000,2025-11-17T11:33:44+01:00,31,23179,1.6,1.7
1000,2025-11-17T11:33:46+01:00,32,23179,1.6,1.7
1000,2025-11-17T11:33:48+01:00,33,23179,1.6,1.7
1000,2025-11-17T11:33:50+01:00,34,23179,1.7,1.7
1000,2025-11-17T11:33:52+01:00,35,23179,1.7,1.7
1000,2025-11-17T11:33:54+01:00,36,23179,1.7,1.7
1000,2025-11-17T11:33:56+01:00,37,23179,1.7,1.7
1000,2025-11-17T11:33:58+01:00,38,23179,1.7,1.7
1000,2025-11-17T11:34:00+01:00,39,23179,1.7,1.7
1000,2025-11-17T11:34:02+01:00,40,23179,1.7,1.7
1000,2025-11-17T11:34:04+01:00,41,23179,1.7,1.7
1000,2025-11-17T11:34:06+01:00,42,23179,1.7,1.7
1000,2025-11-17T11:34:08+01:00,43,23179,1.7,1.7
1000,2025-11-17T11:34:10+01:00,44,23179,1.7,1.7
1000,2025-11-17T11:34:12+01:00,45,23179,1.7,1.7
1000,2025-11-17T11:34:14+01:00,46,23179,1.8,1.7
1000,2025-11-17T11:34:16+01:00,47,23179,1.8,1.7
1000,2025-11-17T11:34:18+01:00,48,23179,1.8,1.7
1000,2025-11-17T11:34:20+01:00,49,23179,1.8,1.7
5000,2025-11-17T11:34:27+01:00,1,23179,1.7,1.7
5000,2025-11-17T11:34:29+01:00,2,23179,1.7,2.0
5000,2025-11-17T11:34:31+01:00,3,23179,1.7,2.0
5000,2025-11-17T11:34:33+01:00,4,23179,1.8,2.0
5000,2025-11-17T11:34:35+01:00,5,23179,1.8,2.0
5000,2025-11-17T11:34:37+01:00,6,23179,1.8,2.0
5000,2025-11-17T11:34:39+01:00,7,23179,1.8,2.0
5000,2025-11-17T11:34:41+01:00,8,23179,1.8,2.0
5000,2025-11-17T11:34:43+01:00,9,23179,1.8,2.0
5000,2025-11-17T11:34:45+01:00,10,23179,1.8,2.0
5000,2025-11-17T11:34:47+01:00,11,23179,1.8,2.0
5000,2025-11-17T11:34:49+01:00,12,23179,1.8,2.0
5000,2025-11-17T11:34:51+01:00,13,23179,1.8,2.0
5000,2025-11-17T11:34:53+01:00,14,23179,1.8,2.0
5000,2025-11-17T11:34:55+01:00,15,23179,1.8,2.0
5000,2025-11-17T11:34:57+01:00,16,23179,1.8,2.0
5000,2025-11-17T11:34:59+01:00,17,23179,1.8,2.0
5000,2025-11-17T11:35:01+01:00,18,23179,1.8,2.0
5000,2025-11-17T11:35:03+01:00,19,23179,1.8,2.0
5000,2025-11-17T11:35:05+01:00,20,23179,1.8,2.0
5000,2025-11-17T11:35:07+01:00,21,23179,1.8,2.0
5000,2025-11-17T11:35:09+01:00,22,23179,1.8,2.0
5000,2025-11-17T11:35:11+01:00,23,23179,1.9,2.0
5000,2025-11-17T11:35:13+01:00,24,23179,1.8,2.0
5000,2025-11-17T11:35:15+01:00,25,23179,1.9,2.0
5000,2025-11-17T11:35:17+01:00,26,23179,1.9,2.0
5000,2025-11-17T11:35:19+01:00,27,23179,1.9,2.0
5000,2025-11-17T11:35:21+01:00,28,23179,1.9,2.0
5000,2025-11-17T11:35:23+01:00,29,23179,1.9,2.0
5000,2025-11-17T11:35:25+01:00,30,23179,1.9,2.0
5000,2025-11-17T11:35:28+01:00,31,23179,1.9,2.0
5000,2025-11-17T11:35:30+01:00,32,23179,1.9,2.0
5000,2025-11-17T11:35:32+01:00,33,23179,1.9,2.0
5000,2025-11-17T11:35:34+01:00,34,23179,1.9,2.0
5000,2025-11-17T11:35:36+01:00,35,23179,1.9,2.0
5000,2025-11-17T11:35:38+01:00,36,23179,1.9,2.0
5000,2025-11-17T11:35:40+01:00,37,23179,1.9,2.0
5000,2025-11-17T11:35:42+01:00,38,23179,1.9,2.0
5000,2025-11-17T11:35:44+01:00,39,23179,1.9,2.0
5000,2025-11-17T11:35:46+01:00,40,23179,1.9,2.0
5000,2025-11-17T11:35:48+01:00,41,23179,1.9,2.0
5000,2025-11-17T11:35:50+01:00,42,23179,1.9,2.0
5000,2025-11-17T11:35:52+01:00,43,23179,1.9,2.0
5000,2025-11-17T11:35:54+01:00,44,23179,1.9,2.0
5000,2025-11-17T11:35:56+01:00,45,23179,1.9,2.0
5000,2025-11-17T11:35:58+01:00,46,23179,1.9,2.0
5000,2025-11-17T11:36:00+01:00,47,23179,1.9,2.0
5000,2025-11-17T11:36:02+01:00,48,23179,1.9,2.0
5000,2025-11-17T11:36:04+01:00,49,23179,1.9,2.0
5000,2025-11-17T11:36:06+01:00,50,23179,1.8,2.0
5000,2025-11-17T11:36:08+01:00,51,23179,1.8,2.0
5000,2025-11-17T11:36:10+01:00,52,23179,1.8,2.0
5000,2025-11-17T11:36:12+01:00,53,23179,1.8,2.0
5000,2025-11-17T11:36:14+01:00,54,23179,1.8,2.0
5000,2025-11-17T11:36:16+01:00,55,23179,1.8,2.0
5000,2025-11-17T11:36:18+01:00,56,23179,1.8,2.0
5000,2025-11-17T11:36:20+01:00,57,23179,1.8,2.0
5000,2025-11-17T11:36:22+01:00,58,23179,1.8,2.0
5000,2025-11-17T11:36:24+01:00,59,23179,1.8,2.0
5000,2025-11-17T11:36:26+01:00,60,23179,1.8,2.0
5000,2025-11-17T11:36:28+01:00,61,23179,1.8,2.0
5000,2025-11-17T11:36:30+01:00,62,23179,1.8,2.0
5000,2025-11-17T11:36:32+01:00,63,23179,1.8,2.0
5000,2025-11-17T11:36:34+01:00,64,23179,1.8,2.0
5000,2025-11-17T11:36:36+01:00,65,23179,1.8,2.0
5000,2025-11-17T11:36:38+01:00,66,23179,1.8,2.0
5000,2025-11-17T11:36:40+01:00,67,23179,1.8,2.0
5000,2025-11-17T11:36:42+01:00,68,23179,1.8,2.0
5000,2025-11-17T11:36:44+01:00,69,23179,1.9,2.0
5000,2025-11-17T11:36:47+01:00,70,23179,1.8,2.0
5000,2025-11-17T11:36:49+01:00,71,23179,1.8,2.0
5000,2025-11-17T11:36:51+01:00,72,23179,1.8,2.0
5000,2025-11-17T11:36:53+01:00,73,23179,1.9,2.0
5000,2025-11-17T11:36:55+01:00,74,23179,1.9,2.0
5000,2025-11-17T11:36:57+01:00,75,23179,1.9,2.0
5000,2025-11-17T11:36:59+01:00,76,23179,1.9,2.0
5000,2025-11-17T11:37:01+01:00,77,23179,1.9,2.0
5000,2025-11-17T11:37:03+01:00,78,23179,1.9,2.0
5000,2025-11-17T11:37:05+01:00,79,23179,1.9,2.0
5000,2025-11-17T11:37:07+01:00,80,23179,1.9,2.0
5000,2025-11-17T11:37:09+01:00,81,23179,1.9,2.0
5000,2025-11-17T11:37:11+01:00,82,23179,1.9,2.0
5000,2025-11-17T11:37:13+01:00,83,23179,1.9,2.0
5000,2025-11-17T11:37:15+01:00,84,23179,1.9,2.0
5000,2025-11-17T11:37:17+01:00,85,23179,1.9,2.0
5000,2025-11-17T11:37:19+01:00,86,23179,1.9,2.0
5000,2025-11-17T11:37:21+01:00,87,23179,1.9,2.0
5000,2025-11-17T11:37:23+01:00,88,23179,1.9,2.0
5000,2025-11-17T11:37:25+01:00,89,23179,1.9,2.0
5000,2025-11-17T11:37:27+01:00,90,23179,1.9,2.0
5000,2025-11-17T11:37:29+01:00,91,23179,1.9,2.0
5000,2025-11-17T11:37:31+01:00,92,23179,1.9,2.0
5000,2025-11-17T11:37:33+01:00,93,23179,1.9,2.0
5000,2025-11-17T11:37:35+01:00,94,23179,1.9,2.0
5000,2025-11-17T11:37:37+01:00,95,23179,1.9,2.0
5000,2025-11-17T11:37:39+01:00,96,23179,1.9,2.0
5000,2025-11-17T11:37:41+01:00,97,23179,1.9,2.0
5000,2025-11-17T11:37:43+01:00,98,23179,1.9,2.0
5000,2025-11-17T11:37:45+01:00,99,23179,1.9,2.0
5000,2025-11-17T11:37:47+01:00,100,23179,1.9,2.0
5000,2025-11-17T11:37:49+01:00,101,23179,1.9,2.0
5000,2025-11-17T11:37:51+01:00,102,23179,1.9,2.0
5000,2025-11-17T11:37:53+01:00,103,23179,1.9,2.0
5000,2025-11-17T11:37:55+01:00,104,23179,1.9,2.0
5000,2025-11-17T11:37:57+01:00,105,23179,1.9,2.0
5000,2025-11-17T11:37:59+01:00,106,23179,1.9,2.0
5000,2025-11-17T11:38:01+01:00,107,23179,1.9,2.0
5000,2025-11-17T11:38:03+01:00,108,23179,1.9,2.0
5000,2025-11-17T11:38:05+01:00,109,23179,1.9,2.0
5000,2025-11-17T11:38:07+01:00,110,23179,1.9,2.0
5000,2025-11-17T11:38:09+01:00,111,23179,1.9,2.0
5000,2025-11-17T11:38:11+01:00,112,23179,1.9,2.0
5000,2025-11-17T11:38:13+01:00,113,23179,1.9,2.0
5000,2025-11-17T11:38:15+01:00,114,23179,1.9,2.0
5000,2025-11-17T11:38:17+01:00,115,23179,2.0,2.0
5000,2025-11-17T11:38:19+01:00,116,23179,2.0,2.0
5000,2025-11-17T11:38:21+01:00,117,23179,2.0,2.0
5000,2025-11-17T11:38:23+01:00,118,23179,2.0,2.0
5000,2025-11-17T11:38:25+01:00,119,23179,2.0,2.0
5000,2025-11-17T11:38:28+01:00,120,23179,2.0,2.0
5000,2025-11-17T11:38:30+01:00,121,23179,2.0,2.0
5000,2025-11-17T11:38:32+01:00,122,23179,2.0,2.0
5000,2025-11-17T11:38:34+01:00,123,23179,2.0,2.0
5000,2025-11-17T11:38:36+01:00,124,23179,2.0,2.0
5000,2025-11-17T11:38:38+01:00,125,23179,2.0,2.0
5000,2025-11-17T11:38:40+01:00,126,23179,2.0,2.0
5000,2025-11-17T11:38:42+01:00,127,23179,2.0,2.0
5000,2025-11-17T11:38:44+01:00,128,23179,2.0,2.0
5000,2025-11-17T11:38:46+01:00,129,23179,2.0,2.0
5000,2025-11-17T11:38:48+01:00,130,23179,2.0,2.0
5000,2025-11-17T11:38:50+01:00,131,23179,2.0,2.0
5000,2025-11-17T11:38:52+01:00,132,23179,2.0,2.0
5000,2025-11-17T11:38:54+01:00,133,23179,2.0,2.0
5000,2025-11-17T11:38:56+01:00,134,23179,2.0,2.0
5000,2025-11-17T11:38:58+01:00,135,23179,2.0,2.0
5000,2025-11-17T11:39:00+01:00,136,23179,2.0,2.0
5000,2025-11-17T11:39:02+01:00,137,23179,2.0,2.0
5000,2025-11-17T11:39:04+01:00,138,23179,2.1,2.0
5000,2025-11-17T11:39:06+01:00,139,23179,2.1,2.0
5000,2025-11-17T11:39:08+01:00,140,23179,2.1,2.0
5000,2025-11-17T11:39:10+01:00,141,23179,2.1,2.0
5000,2025-11-17T11:39:12+01:00,142,23179,2.1,2.0
5000,2025-11-17T11:39:14+01:00,143,23179,2.1,2.0
5000,2025-11-17T11:39:16+01:00,144,23179,2.1,2.0
5000,2025-11-17T11:39:18+01:00,145,23179,2.1,2.0
5000,2025-11-17T11:39:20+01:00,146,23179,2.1,2.0
5000,2025-11-17T11:39:22+01:00,147,23179,2.1,2.0
5000,2025-11-17T11:39:24+01:00,148,23179,2.1,2.0
5000,2025-11-17T11:39:26+01:00,149,23179,2.1,2.0
5000,2025-11-17T11:39:28+01:00,150,23179,2.1,2.0
5000,2025-11-17T11:39:30+01:00,151,23179,2.1,2.0
5000,2025-11-17T11:39:32+01:00,152,23179,2.1,2.0
5000,2025-11-17T11:39:34+01:00,153,23179,2.1,2.0
5000,2025-11-17T11:39:36+01:00,154,23179,2.1,2.0
5000,2025-11-17T11:39:38+01:00,155,23179,2.1,2.0
5000,2025-11-17T11:39:40+01:00,156,23179,2.1,2.0
5000,2025-11-17T11:39:42+01:00,157,23179,2.1,2.0
5000,2025-11-17T11:39:44+01:00,158,23179,2.1,2.0
5000,2025-11-17T11:39:46+01:00,159,23179,2.1,2.0
5000,2025-11-17T11:39:48+01:00,160,23179,2.1,2.0
5000,2025-11-17T11:39:50+01:00,161,23179,2.1,2.0
5000,2025-11-17T11:39:52+01:00,162,23179,2.1,2.0
5000,2025-11-17T11:39:54+01:00,163,23179,2.1,2.0
5000,2025-11-17T11:39:56+01:00,164,23179,2.1,2.0
