copies,timestamp,elapsed_s,pid,cpu_percent,mem_percent
10,2025-11-17T14:33:45+01:00,1,56962,0.0,0.4
100,2025-11-17T14:33:52+01:00,1,56962,0.1,0.8
100,2025-11-17T14:33:54+01:00,2,56962,0.2,1.1
100,2025-11-17T14:33:56+01:00,3,56962,0.3,1.1
100,2025-11-17T14:33:58+01:00,4,56962,0.4,1.1
100,2025-11-17T14:34:00+01:00,5,56962,0.4,1.1
100,2025-11-17T14:34:02+01:00,6,56962,0.5,1.1
100,2025-11-17T14:34:04+01:00,7,56962,0.5,1.1
500,2025-11-17T14:34:11+01:00,1,56962,0.4,1.1
500,2025-11-17T14:34:13+01:00,2,56962,0.5,1.4
500,2025-11-17T14:34:15+01:00,3,56962,0.6,1.4
500,2025-11-17T14:34:17+01:00,4,56962,0.6,1.4
500,2025-11-17T14:34:19+01:00,5,56962,0.6,1.4
500,2025-11-17T14:34:21+01:00,6,56962,0.7,1.4
500,2025-11-17T14:34:23+01:00,7,56962,0.7,1.4
500,2025-11-17T14:34:25+01:00,8,56962,0.8,1.4
500,2025-11-17T14:34:27+01:00,9,56962,0.8,1.4
500,2025-11-17T14:34:29+01:00,10,56962,0.8,1.4
500,2025-11-17T14:34:31+01:00,11,56962,0.9,1.4
500,2025-11-17T14:34:33+01:00,12,56962,0.9,1.4
500,2025-11-17T14:34:35+01:00,13,56962,0.9,1.4
500,2025-11-17T14:34:37+01:00,14,56962,0.9,1.4
500,2025-11-17T14:34:39+01:00,15,56962,0.9,1.4
500,2025-11-17T14:34:41+01:00,16,56962,0.9,1.4
500,2025-11-17T14:34:43+01:00,17,56962,1.0,1.4
500,2025-11-17T14:34:45+01:00,18,56962,1.0,1.4
500,2025-11-17T14:34:47+01:00,19,56962,1.0,1.4
500,2025-11-17T14:34:50+01:00,20,56962,1.0,1.4
500,2025-11-17T14:34:52+01:00,21,56962,1.0,1.4
500,2025-11-17T14:34:54+01:00,22,56962,1.0,1.4
500,2025-11-17T14:34:56+01:00,23,56962,1.1,1.4
500,2025-11-17T14:34:58+01:00,24,56962,1.1,1.4
500,2025-11-17T14:35:00+01:00,25,56962,1.1,1.4
500,2025-11-17T14:35:02+01:00,26,56962,1.1,1.4
1000,2025-11-17T14:35:09+01:00,1,56962,1.1,1.4
1000,2025-11-17T14:35:11+01:00,2,56962,1.1,1.7
1000,2025-11-17T14:35:13+01:00,3,56962,1.1,1.7
1000,2025-11-17T14:35:15+01:00,4,56962,1.1,1.7
1000,2025-11-17T14:35:17+01:00,5,56962,1.1,1.7
1000,2025-11-17T14:35:19+01:00,6,56962,1.2,1.7
1000,2025-11-17T14:35:21+01:00,7,56962,1.2,1.7
1000,2025-11-17T14:35:23+01:00,8,56962,1.2,1.7
1000,2025-11-17T14:35:25+01:00,9,56962,1.2,1.7
1000,2025-11-17T14:35:27+01:00,10,56962,1.2,1.7
