copies,timestamp,elapsed_s,pid,cpu_percent,mem_percent
10,2025-11-17T12:17:29+01:00,1,35055,0.0,0.4
100,2025-11-17T12:17:36+01:00,1,35055,0.0,0.8
100,2025-11-17T12:17:38+01:00,2,35055,0.1,1.1
100,2025-11-17T12:17:40+01:00,3,35055,0.1,1.1
100,2025-11-17T12:17:42+01:00,4,35055,0.1,1.1
100,2025-11-17T12:17:44+01:00,5,35055,0.1,1.1
500,2025-11-17T12:17:51+01:00,1,35055,0.1,1.1
500,2025-11-17T12:17:53+01:00,2,35055,0.2,1.4
500,2025-11-17T12:17:55+01:00,3,35055,0.2,1.4
500,2025-11-17T12:17:57+01:00,4,35055,0.2,1.4
500,2025-11-17T12:17:59+01:00,5,35055,0.2,1.4
500,2025-11-17T12:18:01+01:00,6,35055,0.3,1.4
500,2025-11-17T12:18:03+01:00,7,35055,0.3,1.4
500,2025-11-17T12:18:05+01:00,8,35055,0.3,1.4
500,2025-11-17T12:18:07+01:00,9,35055,0.3,1.4
500,2025-11-17T12:18:09+01:00,10,35055,0.4,1.4
500,2025-11-17T12:18:11+01:00,11,35055,0.4,1.4
500,2025-11-17T12:18:13+01:00,12,35055,0.5,1.4
500,2025-11-17T12:18:15+01:00,13,35055,0.5,1.4
500,2025-11-17T12:18:17+01:00,14,35055,0.5,1.4
500,2025-11-17T12:18:19+01:00,15,35055,0.5,1.4
500,2025-11-17T12:18:21+01:00,16,35055,0.5,1.4
500,2025-11-17T12:18:23+01:00,17,35055,0.5,1.4
500,2025-11-17T12:18:25+01:00,18,35055,0.5,1.4
500,2025-11-17T12:18:27+01:00,19,35055,0.6,1.4
500,2025-11-17T12:18:29+01:00,20,35055,0.6,1.4
500,2025-11-17T12:18:31+01:00,21,35055,0.6,1.4
500,2025-11-17T12:18:33+01:00,22,35055,0.6,1.4
500,2025-11-17T12:18:35+01:00,23,35055,0.6,1.4
1000,2025-11-17T12:18:42+01:00,1,35055,0.6,1.4
1000,2025-11-17T12:18:45+01:00,2,35055,0.7,1.7
1000,2025-11-17T12:18:47+01:00,3,35055,0.7,1.7
1000,2025-11-17T12:18:49+01:00,4,35055,0.7,1.7
1000,2025-11-17T12:18:51+01:00,5,35055,0.7,1.7
1000,2025-11-17T12:18:53+01:00,6,35055,0.7,1.7
1000,2025-11-17T12:18:55+01:00,7,35055,0.7,1.7
1000,2025-11-17T12:18:57+01:00,8,35055,0.7,1.7
1000,2025-11-17T12:18:59+01:00,9,35055,0.7,1.7
1000,2025-11-17T12:19:01+01:00,10,35055,0.7,1.7
1000,2025-11-17T12:19:03+01:00,11,35055,0.8,1.7
1000,2025-11-17T12:19:05+01:00,12,35055,0.8,1.7
1000,2025-11-17T12:19:07+01:00,13,35055,0.8,1.7
1000,2025-11-17T12:19:09+01:00,14,35055,0.8,1.7
1000,2025-11-17T12:19:11+01:00,15,35055,0.8,1.7
