copies,timestamp,elapsed_s,pid,cpu_percent,mem_percent
10,2025-11-17T18:15:24+01:00,1,62678,1.1,6.1
100,2025-11-17T18:15:31+01:00,1,62678,1.1,6.4
100,2025-11-17T18:15:33+01:00,2,62678,1.1,6.7
100,2025-11-17T18:15:35+01:00,3,62678,1.1,6.7
100,2025-11-17T18:15:37+01:00,4,62678,1.1,6.7
100,2025-11-17T18:15:39+01:00,5,62678,1.1,6.7
100,2025-11-17T18:15:41+01:00,6,62678,1.1,6.7
100,2025-11-17T18:15:43+01:00,7,62678,1.1,6.7
500,2025-11-17T18:15:50+01:00,1,62678,1.1,6.7
500,2025-11-17T18:15:52+01:00,2,62678,1.1,7.0
500,2025-11-17T18:15:54+01:00,3,62678,1.1,7.0
500,2025-11-17T18:15:56+01:00,4,62678,1.1,7.0
500,2025-11-17T18:15:58+01:00,5,62678,1.1,7.0
500,2025-11-17T18:16:00+01:00,6,62678,1.1,7.0
500,2025-11-17T18:16:03+01:00,7,62678,1.1,7.0
500,2025-11-17T18:16:05+01:00,8,62678,1.1,7.0
500,2025-11-17T18:16:07+01:00,9,62678,1.1,7.0
500,2025-11-17T18:16:09+01:00,10,62678,1.1,7.0
500,2025-11-17T18:16:11+01:00,11,62678,1.1,7.0
500,2025-11-17T18:16:13+01:00,12,62678,1.1,7.0
500,2025-11-17T18:16:15+01:00,13,62678,1.1,7.0
500,2025-11-17T18:16:17+01:00,14,62678,1.1,7.0
500,2025-11-17T18:16:19+01:00,15,62678,1.1,7.0
500,2025-11-17T18:16:21+01:00,16,62678,1.1,7.0
500,2025-11-17T18:16:23+01:00,17,62678,1.1,7.0
500,2025-11-17T18:16:25+01:00,18,62678,1.1,7.0
500,2025-11-17T18:16:27+01:00,19,62678,1.1,7.0
500,2025-11-17T18:16:29+01:00,20,62678,1.1,7.0
500,2025-11-17T18:16:31+01:00,21,62678,1.1,7.0
500,2025-11-17T18:16:33+01:00,22,62678,1.1,7.0
500,2025-11-17T18:16:35+01:00,23,62678,1.1,7.0
