copies,timestamp,elapsed_s,pid,cpu_percent,mem_percent
10,2025-11-17T11:56:23+01:00,1,31041,0.3,0.4
100,2025-11-17T11:56:30+01:00,1,31041,0.4,0.8
100,2025-11-17T11:56:32+01:00,2,31041,0.5,1.1
100,2025-11-17T11:56:34+01:00,3,31041,0.6,1.1
100,2025-11-17T11:56:36+01:00,4,31041,0.6,1.1
100,2025-11-17T11:56:38+01:00,5,31041,0.8,1.1
100,2025-11-17T11:56:40+01:00,6,31041,0.8,1.1
100,2025-11-17T11:56:42+01:00,7,31041,0.9,1.1
500,2025-11-17T11:56:49+01:00,1,31041,0.8,1.1
500,2025-11-17T11:56:51+01:00,2,31041,0.9,1.4
500,2025-11-17T11:56:53+01:00,3,31041,0.9,1.4
500,2025-11-17T11:56:55+01:00,4,31041,1.0,1.4
500,2025-11-17T11:56:57+01:00,5,31041,1.0,1.4
500,2025-11-17T11:56:59+01:00,6,31041,1.0,1.4
500,2025-11-17T11:57:01+01:00,7,31041,1.1,1.4
500,2025-11-17T11:57:03+01:00,8,31041,1.2,1.4
500,2025-11-17T11:57:05+01:00,9,31041,1.2,1.4
500,2025-11-17T11:57:07+01:00,10,31041,1.3,1.4
500,2025-11-17T11:57:09+01:00,11,31041,1.4,1.4
500,2025-11-17T11:57:11+01:00,12,31041,1.4,1.4
500,2025-11-17T11:57:13+01:00,13,31041,1.4,1.4
500,2025-11-17T11:57:15+01:00,14,31041,1.5,1.4
500,2025-11-17T11:57:17+01:00,15,31041,1.5,1.4
500,2025-11-17T11:57:19+01:00,16,31041,1.5,1.4
500,2025-11-17T11:57:22+01:00,17,31041,1.5,1.4
500,2025-11-17T11:57:24+01:00,18,31041,1.6,1.4
500,2025-11-17T11:57:26+01:00,19,31041,1.6,1.4
500,2025-11-17T11:57:28+01:00,20,31041,1.6,1.4
500,2025-11-17T11:57:30+01:00,21,31041,1.6,1.4
500,2025-11-17T11:57:32+01:00,22,31041,1.6,1.4
500,2025-11-17T11:57:34+01:00,23,31041,1.6,1.4
1000,2025-11-17T11:57:41+01:00,1,31041,1.5,1.4
1000,2025-11-17T11:57:43+01:00,2,31041,1.5,1.7
1000,2025-11-17T11:57:45+01:00,3,31041,1.5,1.7
1000,2025-11-17T11:57:47+01:00,4,31041,1.5,1.7
1000,2025-11-17T11:57:49+01:00,5,31041,1.5,1.7
1000,2025-11-17T11:57:51+01:00,6,31041,1.5,1.7
1000,2025-11-17T11:57:53+01:00,7,31041,1.5,1.7
1000,2025-11-17T11:57:55+01:00,8,31041,1.6,1.7
1000,2025-11-17T11:57:57+01:00,9,31041,1.6,1.7
1000,2025-11-17T11:57:59+01:00,10,31041,1.6,1.7
1000,2025-11-17T11:58:01+01:00,11,31041,1.6,1.7
1000,2025-11-17T11:58:03+01:00,12,31041,1.6,1.7
1000,2025-11-17T11:58:05+01:00,13,31041,1.6,1.7
1000,2025-11-17T11:58:07+01:00,14,31041,1.6,1.7
1000,2025-11-17T11:58:09+01:00,15,31041,1.6,1.7
1000,2025-11-17T11:58:11+01:00,16,31041,1.7,1.7
1000,2025-11-17T11:58:13+01:00,17,31041,1.7,1.7
1000,2025-11-17T11:58:15+01:00,18,31041,1.7,1.7
1000,2025-11-17T11:58:17+01:00,19,31041,1.7,1.7
1000,2025-11-17T11:58:19+01:00,20,31041,1.7,1.7
1000,2025-11-17T11:58:21+01:00,21,31041,1.7,1.7
1000,2025-11-17T11:58:23+01:00,22,31041,1.7,1.7
1000,2025-11-17T11:58:25+01:00,23,31041,1.7,1.7
1000,2025-11-17T11:58:27+01:00,24,31041,1.8,1.7
1000,2025-11-17T11:58:29+01:00,25,31041,1.8,1.7
1000,2025-11-17T11:58:31+01:00,26,31041,1.8,1.7
1000,2025-11-17T11:58:33+01:00,27,31041,1.9,1.7
1000,2025-11-17T11:58:35+01:00,28,31041,1.9,1.7
1000,2025-11-17T11:58:37+01:00,29,31041,1.9,1.7
1000,2025-11-17T11:58:39+01:00,30,31041,1.9,1.7
