copies,timestamp,elapsed_s,pid,cpu_percent,mem_percent
10,2025-11-17T16:46:51+01:00,1,62678,1.5,4.2
100,2025-11-17T16:46:58+01:00,1,62678,1.5,4.5
100,2025-11-17T16:47:00+01:00,2,62678,1.5,4.8
100,2025-11-17T16:47:02+01:00,3,62678,1.5,4.8
100,2025-11-17T16:47:04+01:00,4,62678,1.5,4.8
100,2025-11-17T16:47:06+01:00,5,62678,1.5,4.8
100,2025-11-17T16:47:08+01:00,6,62678,1.5,4.8
100,2025-11-17T16:47:10+01:00,7,62678,1.5,4.8
500,2025-11-17T16:47:17+01:00,1,62678,1.5,4.8
500,2025-11-17T16:47:19+01:00,2,62678,1.5,5.1
500,2025-11-17T16:47:21+01:00,3,62678,1.5,5.1
500,2025-11-17T16:47:23+01:00,4,62678,1.5,5.1
500,2025-11-17T16:47:25+01:00,5,62678,1.5,5.1
500,2025-11-17T16:47:27+01:00,6,62678,1.5,5.1
500,2025-11-17T16:47:29+01:00,7,62678,1.5,5.1
500,2025-11-17T16:47:31+01:00,8,62678,1.5,5.1
500,2025-11-17T16:47:33+01:00,9,62678,1.5,5.1
500,2025-11-17T16:47:35+01:00,10,62678,1.5,5.1
500,2025-11-17T16:47:37+01:00,11,62678,1.5,5.1
500,2025-11-17T16:47:39+01:00,12,62678,1.5,5.1
500,2025-11-17T16:47:41+01:00,13,62678,1.5,5.1
500,2025-11-17T16:47:43+01:00,14,62678,1.5,5.1
500,2025-11-17T16:47:45+01:00,15,62678,1.5,5.1
500,2025-11-17T16:47:47+01:00,16,62678,1.5,5.1
500,2025-11-17T16:47:49+01:00,17,62678,1.5,5.1
500,2025-11-17T16:47:51+01:00,18,62678,1.5,5.1
500,2025-11-17T16:47:54+01:00,19,62678,1.5,5.1
500,2025-11-17T16:47:56+01:00,20,62678,1.5,5.1
500,2025-11-17T16:47:58+01:00,21,62678,1.5,5.1
500,2025-11-17T16:48:00+01:00,22,62678,1.5,5.1
500,2025-11-17T16:48:02+01:00,23,62678,1.5,5.1
500,2025-11-17T16:48:04+01:00,24,62678,1.5,5.1
500,2025-11-17T16:48:06+01:00,25,62678,1.5,5.1
500,2025-11-17T16:48:08+01:00,26,62678,1.5,5.1
500,2025-11-17T16:48:10+01:00,27,62678,1.5,5.1
500,2025-11-17T16:48:12+01:00,28,62678,1.5,5.1
1000,2025-11-17T16:48:19+01:00,1,62678,1.5,5.1
1000,2025-11-17T16:48:21+01:00,2,62678,1.5,5.4
1000,2025-11-17T16:48:23+01:00,3,62678,1.5,5.4
1000,2025-11-17T16:48:25+01:00,4,62678,1.5,5.4
1000,2025-11-17T16:48:27+01:00,5,62678,1.5,5.4
1000,2025-11-17T16:48:29+01:00,6,62678,1.5,5.4
1000,2025-11-17T16:48:31+01:00,7,62678,1.5,5.4
1000,2025-11-17T16:48:33+01:00,8,62678,1.5,5.4
1000,2025-11-17T16:48:35+01:00,9,62678,1.5,5.4
1000,2025-11-17T16:48:37+01:00,10,62678,1.5,5.4
1000,2025-11-17T16:48:39+01:00,11,62678,1.5,5.4
1000,2025-11-17T16:48:41+01:00,12,62678,1.5,5.4
1000,2025-11-17T16:48:43+01:00,13,62678,1.5,5.4
1000,2025-11-17T16:48:45+01:00,14,62678,1.5,5.4
1000,2025-11-17T16:48:47+01:00,15,62678,1.5,5.4
1000,2025-11-17T16:48:49+01:00,16,62678,1.5,5.4
1000,2025-11-17T16:48:51+01:00,17,62678,1.5,5.4
1000,2025-11-17T16:48:53+01:00,18,62678,1.5,5.4
1000,2025-11-17T16:48:55+01:00,19,62678,1.5,5.4
1000,2025-11-17T16:48:57+01:00,20,62678,1.5,5.4
1000,2025-11-17T16:48:59+01:00,21,62678,1.5,5.4
1000,2025-11-17T16:49:01+01:00,22,62678,1.5,5.4
1000,2025-11-17T16:49:03+01:00,23,62678,1.5,5.4
1000,2025-11-17T16:49:05+01:00,24,62678,1.5,5.4
1000,2025-11-17T16:49:07+01:00,25,62678,1.5,5.4
1000,2025-11-17T16:49:09+01:00,26,62678,1.5,5.4
1000,2025-11-17T16:49:11+01:00,27,62678,1.5,5.4
1000,2025-11-17T16:49:13+01:00,28,62678,1.5,5.4
1000,2025-11-17T16:49:15+01:00,29,62678,1.5,5.4
1000,2025-11-17T16:49:17+01:00,30,62678,1.5,5.4
1000,2025-11-17T16:49:19+01:00,31,62678,1.5,5.4
1000,2025-11-17T16:49:21+01:00,32,62678,1.5,5.4
1000,2025-11-17T16:49:23+01:00,33,62678,1.5,5.4
1000,2025-11-17T16:49:25+01:00,34,62678,1.5,5.4
1000,2025-11-17T16:49:27+01:00,35,62678,1.5,5.4
1000,2025-11-17T16:49:29+01:00,36,62678,1.5,5.4
1000,2025-11-17T16:49:31+01:00,37,62678,1.5,5.4
1000,2025-11-17T16:49:33+01:00,38,62678,1.5,5.4
1000,2025-11-17T16:49:35+01:00,39,62678,1.5,5.4
